Sr. No.,Share Market Holiday 2024,Date,Day,str_date
1.0,Republic Day,"January 26, 2024",Friday,2024-01-26
2.0,Mahashivratri,"March 08, 2024",Friday,2024-03-08
3.0,Holi,"March 25, 2024",Monday,2024-03-25
4.0,Good Friday,"March 29, 2024",Friday,2024-03-29
5.0,Id-Ul-Fitr (Ramadan Eid),"April 11, 2024",Thursday,2024-04-11
6.0,Shri Ram Navmi,"April 17, 2024",Wednesday,2024-04-17
7.0,Maharashtra Day,"May 01, 2024",Wednesday,2024-05-01
8.0,Bakri Id,"June 17, 2024",Monday,2024-06-17
9.0,Moharram,"July 17, 2024",Wednesday,2024-07-17
10.0,Independence Day/Parsi New Year,"August 15, 2024",Thursday,2024-08-15
11.0,Mahatma Gandhi Jayanti,"October 02, 2024",Wednesday,2024-10-02
12.0,Diwali Laxmi Pujan*,"November 01, 2024",Friday,2024-11-01
13.0,Gurunanak Jayanti,"November 15, 2024",Friday,2024-11-15
14.0,Christmas,"December 25, 2024",Wednesday,2024-12-25
15.0,Christmas,"December 25, 2025",Wednesday,2025-12-25

